iter	Passed	Remaining
0	1	147
1	2	131
2	3	123
3	4	113
4	5	112
5	7	111
6	8	109
7	9	109
8	10	107
9	11	106
10	12	104
11	14	103
12	15	102
13	16	100
14	17	99
15	18	98
16	19	96
17	20	95
18	22	94
19	23	93
20	24	92
21	25	91
22	27	91
23	28	90
24	29	89
25	31	89
26	32	88
27	33	86
28	34	85
29	36	84
30	37	82
31	38	81
32	39	80
33	40	79
34	41	77
35	43	76
36	44	75
37	45	74
38	46	72
39	47	71
40	48	70
41	49	68
42	50	67
43	51	65
44	52	64
45	54	63
46	55	62
47	56	61
48	57	59
49	58	58
50	59	57
51	61	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	71	45
61	72	44
62	73	43
63	74	41
64	75	40
65	76	39
66	78	38
67	79	37
68	80	36
69	81	34
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	89	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	97	21
82	98	20
83	99	19
84	101	17
85	103	16
86	104	15
87	105	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	112	7
94	114	6
95	115	4
96	116	3
97	117	2
98	119	1
99	120	0
